date,lat_bin,lon_bin,fire_count,fire_power_MW,max_temp_K,max_power_MW
2024-06-04,23.5,-106.5,1,41.295048,455.7607,41.295048
2024-06-04,24.5,-107.0,1,49.513004,410.76758,49.513004
2024-06-04,24.5,-106.5,2,319.19403,506.3574,182.55275
2024-06-04,25.5,-107.5,1,186.01811,621.4497,186.01811
2024-06-04,26.5,-107.0,2,295.55493,1507.9628,199.85394
2024-06-04,26.5,-106.5,1,95.43943,763.8456,95.43943
2024-06-04,26.5,-77.5,1,41.047623,533.6609,41.047623
2024-06-04,27.5,-108.0,3,603.3036,683.4732,310.60284
2024-06-04,28.0,-109.0,1,279.83295,,279.83295
2024-06-04,31.5,-100.5,1,35.407238,509.87335,35.407238
2024-06-04,32.5,-82.5,1,36.955475,444.11414,36.955475
2024-06-04,35.5,-77.5,1,43.157063,776.15137,43.157063
2024-06-04,38.0,-120.5,1,67.950714,,67.950714
2024-06-05,16.0,-98.0,1,64.52461,,64.52461
2024-06-05,16.0,-90.0,2,126.176735,736.70685,64.10849
2024-06-05,16.5,-99.0,1,35.84649,422.35922,35.84649
2024-06-05,16.5,-98.5,2,148.58125,527.1784,77.085
2024-06-05,16.5,-90.0,1,54.446106,566.67786,54.446106
2024-06-05,17.0,-101.5,1,52.73252,502.34702,52.73252
2024-06-05,17.0,-101.0,1,79.041145,444.60858,79.041145
2024-06-05,17.0,-96.5,7,2652.3408,819.2767,849.8606
2024-06-05,17.0,-95.5,1,26.373676,502.0174,26.373676
2024-06-05,17.0,-92.0,1,32.122272,812.40955,32.122272
2024-06-05,17.0,-89.0,2,106.70332,456.74957,54.871284
2024-06-05,17.5,-100.5,1,41.240868,456.58478,41.240868
2024-06-05,17.5,-97.0,1,44.603413,696.658,44.603413
2024-06-05,17.5,-96.5,1,106.53581,557.1738,106.53581
2024-06-05,17.5,-93.5,2,118.08915,729.4552,62.673225
2024-06-05,17.5,-93.0,1,224.1385,1666.4551,224.1385
2024-06-05,17.5,-92.0,6,1139.5857,1093.4106,322.05347
2024-06-05,17.5,-91.5,1,73.433205,687.9231,73.433205
2024-06-05,17.5,-91.0,3,252.98285,424.50177,116.63383
2024-06-05,17.5,-90.5,1,57.524757,572.83075,57.524757
2024-06-05,17.5,-89.0,2,116.59395,505.97284,72.543274
2024-06-05,18.0,-103.0,1,28.11314,443.83948,28.11314
2024-06-05,18.0,-102.0,3,134.72038,543.6594,50.741642
2024-06-05,18.0,-101.5,2,112.027214,567.83154,70.97003
2024-06-05,18.0,-101.0,1,61.560356,423.403,61.560356
2024-06-05,18.0,-96.0,1,66.55682,572.9956,66.55682
2024-06-05,18.0,-95.5,2,141.61108,606.7816,90.68547
2024-06-05,18.0,-95.0,1,37.826775,777.90936,37.826775
2024-06-05,18.0,-94.0,1,113.001526,,113.001526
2024-06-05,18.0,-93.0,1,101.63089,723.35724,101.63089
2024-06-05,18.0,-92.5,9,628.1612,522.6736,97.51541
2024-06-05,18.0,-91.0,3,174.92047,726.9281,73.05279
2024-06-05,18.0,-90.5,5,345.7647,706.1071,105.54231
2024-06-05,18.0,-89.0,4,294.07498,648.20386,116.17422
2024-06-05,18.0,-88.5,1,38.05335,492.40347,38.05335
2024-06-05,18.5,-102.5,1,52.45019,419.06302,52.45019
2024-06-05,18.5,-97.5,1,54.811966,982.6034,54.811966
2024-06-05,18.5,-91.5,1,187.31316,,187.31316
2024-06-05,18.5,-91.0,3,123.68503,619.3621,53.540627
2024-06-05,18.5,-90.5,7,927.0247,891.46344,301.4826
2024-06-05,18.5,-89.5,1,44.06976,427.30353,44.06976
2024-06-05,18.5,-89.0,6,379.00174,946.89453,105.118614
2024-06-05,18.5,-88.5,5,432.8682,764.4498,119.53978
2024-06-05,19.0,-101.5,1,90.85445,862.73157,90.85445
2024-06-05,19.0,-100.5,2,136.23523,582.0052,70.93645
2024-06-05,19.0,-97.5,1,190.03836,615.8462,190.03836
2024-06-05,19.0,-91.0,2,114.34013,706.93115,62.52416
2024-06-05,19.0,-89.5,4,246.53731,610.35254,88.73156
2024-06-05,19.0,-89.0,3,200.69495,522.61865,84.18394
2024-06-05,19.5,-105.5,1,32.291813,511.24677,32.291813
2024-06-05,19.5,-104.5,1,53.35269,513.8288,53.35269
2024-06-05,19.5,-103.5,2,97.39696,605.90265,50.72199
2024-06-05,19.5,-100.5,1,118.82071,421.8648,118.82071
2024-06-05,19.5,-98.0,6,699.45886,597.71704,235.9795
2024-06-05,19.5,-97.0,2,127.27905,543.6045,76.296486
2024-06-05,19.5,-96.5,3,262.64304,873.1146,111.25063
2024-06-05,19.5,-91.0,1,101.59149,500.20447,101.59149
2024-06-05,19.5,-90.5,3,206.72377,778.1291,94.942474
2024-06-05,19.5,-90.0,1,76.16704,474.27438,76.16704
2024-06-05,19.5,-89.5,1,56.321247,411.64658,56.321247
2024-06-05,19.5,-89.0,5,254.5347,457.73843,73.185425
2024-06-05,19.5,-88.5,2,86.05733,783.73267,45.929123
2024-06-05,20.0,-105.5,1,74.96,1154.3354,74.96
2024-06-05,20.0,-103.5,2,153.6796,480.92172,86.334435
2024-06-05,20.0,-98.0,1,44.54812,,44.54812
2024-06-05,20.0,-90.5,1,189.74788,676.1117,189.74788
2024-06-05,20.0,-90.0,2,100.41147,426.6443,50.77061
2024-06-05,20.0,-89.5,1,41.102055,458.01312,41.102055
2024-06-05,20.0,-89.0,2,116.23876,583.26874,81.97544
2024-06-05,20.0,-88.5,2,111.630325,628.26184,56.758667
2024-06-05,20.5,-104.0,2,99.408844,597.1677,52.60907
2024-06-05,20.5,-90.5,4,409.0113,482.95438,132.9609
2024-06-05,20.5,-89.0,1,37.58048,414.5033,37.58048
2024-06-05,20.5,-88.0,1,66.02782,502.8964,66.02782
2024-06-05,20.5,-87.5,1,52.41596,588.54266,52.41596
2024-06-05,21.0,-105.0,3,188.00888,646.5558,69.25015
