time,lat,lon,Mask,Temp,Power,Area
2018-06-03T19:58:48,48.6241,-103.6194,100,,11.7751,0.0040
2018-06-03T19:58:48,47.1807,-113.0306,10,461.5840,90.9399,
2018-06-03T19:58:48,44.4821,-73.1203,215,,35.5146,0.0040
2018-06-03T19:58:48,44.2695,-73.0748,215,,39.1129,0.0040
2018-06-03T19:58:48,44.1462,-73.6889,215,,28.1785,0.0040
2018-06-03T19:58:48,45.9909,-116.3339,100,,41.8527,0.0040
2018-06-03T19:58:48,44.4954,-93.2180,100,428.5671,33.6082,0.0758
2018-06-03T19:58:48,44.4168,-94.9160,10,1118.1870,124.4097,0.0040
2018-06-03T19:58:48,45.4794,-116.5586,100,,21.3339,0.0040
2018-06-03T19:58:48,45.3885,-116.5835,100,,19.3793,0.0040
2018-06-03T19:58:48,43.6167,-84.4326,215,,24.4961,0.0040
2018-06-03T19:58:48,44.7585,-113.4040,215,,15.7143,0.0040
2018-06-03T19:58:48,43.7266,-103.4418,14,,89.3676,
2018-06-03T19:58:48,43.7246,-103.4092,14,,88.8270,
2018-06-03T19:58:48,43.6976,-103.4559,10,415.8767,76.7000,0.2277
2018-06-03T19:58:48,42.8867,-84.8051,215,,13.2889,0.0040
2018-06-03T19:58:48,44.0976,-118.9456,100,,23.3897,0.0040
2018-06-03T19:58:48,42.0857,-73.8400,100,,21.4118,0.0040
2018-06-03T19:58:48,41.6734,-88.1301,215,,12.6676,0.0040
2018-06-03T19:58:48,42.8373,-116.5969,100,,37.2679,0.0040
2018-06-03T19:58:48,40.7439,-81.3303,215,,32.3185,0.0040
2018-06-03T19:58:48,40.7161,-81.3272,215,,41.3533,0.0040
2018-06-03T19:58:48,40.5481,-81.2089,215,,25.2255,0.0040
2018-06-03T19:58:48,40.5259,-79.2102,215,,23.1972,0.0040
2018-06-03T19:58:48,40.4982,-79.2082,215,,24.6870,0.0040
2018-06-03T19:58:48,40.2776,-79.2173,215,,37.2250,0.0040
2018-06-03T19:58:48,41.1352,-106.8751,100,,19.1838,0.0040
2018-06-03T19:58:48,42.1666,-123.4070,220,,25.3848,0.0040
2018-06-03T19:58:48,40.8654,-124.1000,100,,81.8551,0.0040
2018-06-03T19:58:48,38.6108,-83.8107,100,450.6516,23.7520,
2018-06-03T19:58:48,38.2273,-81.1688,215,,35.3090,0.0040
2018-06-03T19:58:48,38.1423,-80.6556,13,,38.9487,
2018-06-03T19:58:48,38.0020,-79.7810,14,,26.3303,
2018-06-03T19:58:48,40.1003,-122.9348,100,,41.8882,0.0040
2018-06-03T19:58:48,37.9625,-80.9752,215,,25.7899,0.0040
2018-06-03T19:58:48,37.8305,-80.8672,14,,25.3042,
2018-06-03T19:58:48,36.9415,-79.9625,100,,14.1985,0.0040
2018-06-03T19:58:48,36.8215,-80.7299,100,,22.1207,0.0040
2018-06-03T19:58:48,37.8486,-111.4724,215,,11.4728,0.0040
2018-06-03T19:58:48,38.3810,-119.3724,100,,11.1906,0.0040
2018-06-03T19:58:48,36.4560,-82.0829,215,,12.5945,0.0040
2018-06-03T19:58:48,37.9756,-118.9218,100,,31.4954,0.0040
2018-06-03T19:58:48,37.1784,-112.4095,100,,15.5406,0.0040
2018-06-03T19:58:48,35.9864,-87.9636,100,,20.5342,0.0040
2018-06-03T19:58:48,36.8605,-109.4162,215,,16.7326,0.0040
2018-06-03T19:58:48,35.8349,-84.3335,215,,17.9515,0.0040
2018-06-03T19:58:48,37.3038,-119.0702,100,,10.9827,0.0040
2018-06-03T19:58:48,36.2428,-105.3362,13,,52.9679,
2018-06-03T19:58:48,36.0909,-105.3455,13,,56.1093,
2018-06-03T19:58:48,36.4112,-111.7000,100,,28.4222,0.0040
2018-06-03T19:58:48,34.8782,-81.8993,100,,11.6407,0.0040
2018-06-03T19:58:48,35.8044,-108.8231,215,,12.2687,0.0040
2018-06-03T19:58:48,35.6336,-111.4528,100,,19.1644,0.0040
2018-06-03T19:58:48,34.1508,-109.0890,100,,11.2145,0.0040
2018-06-03T19:58:48,33.1805,-87.5495,10,405.5486,43.7511,0.1632
2018-06-03T19:58:48,33.6837,-108.6033,13,,144.4995,
2018-06-03T19:58:48,32.5695,-82.4887,100,,9.1808,0.0040
2018-06-03T19:58:48,33.2620,-105.6419,100,,10.6149,0.0040
2018-06-03T19:58:48,32.3289,-87.7042,100,,14.4519,0.0040
2018-06-03T19:58:48,32.1657,-82.2278,100,,9.8130,0.0040
2018-06-03T19:58:48,32.4403,-96.5284,10,403.5160,45.3648,0.1794
2018-06-03T19:58:48,32.4394,-96.5037,10,409.1195,34.3564,0.1192
2018-06-03T19:58:48,32.4368,-96.4296,10,414.3385,34.8262,0.1072
2018-06-03T19:58:48,31.0983,-95.6686,14,,60.5402,
2018-06-03T19:58:48,31.3382,-108.9929,10,575.6326,120.4289,0.0296
2018-06-03T19:58:48,31.3367,-108.9637,10,444.3339,105.6390,0.1797
